Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Marcus Mariota,ATL,29,QB,13,13,85,438,4,30,30,5.2,33.7,8
Desmond Ridder,ATL,23,QB,4,4,16,64,0,4,18,4.0,16.0,3
